donation_id,amount,sybil_score,tx_hash,created_at,donor_id,proposal_id
1116a21a-8d2a-42e8-b186-15cf7f3c62b3,124.01000000,0.15,0xb25756a6205a,2025-12-02 21:25:01.184469+04,633b1dbb-3c04-4021-8ed3-3adbf3f71262,3b2f6479-c803-470e-9805-defda3bf86b9
396f99c5-a91c-4b1f-b60d-ec0e11c462ba,256.34000000,0.32,0x4e7159761dcc,2025-12-02 21:25:01.184849+04,9cf467f2-ddd5-489f-b9c9-3509ced7b458,a4c2d1ce-244c-4260-99e4-b70b41f5c597
75342b8e-035e-4af0-b133-db7ff56639cc,156.28000000,0.77,0x48020e43414c,2025-12-02 21:25:01.185043+04,26160885-0e8f-4818-97fc-62fdb14c06bb,fcf4e0b1-7b73-4bf5-b754-e98f125cc52c
97597d37-8467-414d-86ae-052c99a09a07,110.50000000,0.6,0xd4b0ddf5885a,2025-12-02 21:25:01.185222+04,7645dcba-523d-44d4-8d55-b93311636127,bf6a99bb-221f-4b7a-9926-2dec719f39e4
b4408122-9997-4cc0-b371-446e11671e8d,486.78000000,0.54,0x3833f0af45ab,2025-12-02 21:25:01.185396+04,9b41ee75-adbb-489c-8c06-97c5735ee875,ab77f481-e0bc-4465-974f-6452dd49e4d5
32e67286-5285-48da-8e73-21e9473d3352,83.21000000,0.52,0xc5a4ce615165,2025-12-02 21:25:01.185572+04,633b1dbb-3c04-4021-8ed3-3adbf3f71262,e79ec8a4-aa85-4a9c-8eef-022652c1b9e9
d0cc6e66-d760-44c8-a656-16e9618d8e46,210.05000000,0.14,0x6af6db75a733,2025-12-02 21:25:01.185743+04,11e1ee5d-af3a-4cbb-8872-de7402fdfcd4,976c0777-1964-42da-8cd4-f50356392eca
fb88f632-9848-491a-9cb1-783cf733a08e,338.23000000,0.34,0xb673de381251,2025-12-02 21:25:01.185898+04,f4abe80d-0cca-436d-9e5b-483aa62384bb,26e009d4-b3b8-40c4-afdd-edb22cdf2a06
939b2680-2daf-4a1f-aa04-8eccbdbde428,405.51000000,0.82,0xc3a2d9bb1e1f,2025-12-02 21:25:01.186047+04,b5cdf886-b8fa-42c3-a2f0-cd1aaebb8722,fac25571-0bb4-4826-8217-1153c8657213
e0119a14-6fd7-4b0f-bf8d-35cae28c1e5b,467.70000000,0.02,0xc8f3e8f1e839,2025-12-02 21:25:01.186195+04,23fe1edc-a7f0-4a19-b891-c96b0d9ba084,4f3ecc8a-2249-4097-b584-aa3dc68cf38d
d3b482d4-d89e-499f-af0c-3cd9bcf80bd4,433.58000000,0.15,0xb87c0a9421ff,2025-12-02 21:25:01.186341+04,11e1ee5d-af3a-4cbb-8872-de7402fdfcd4,1a782e94-65e3-4d2d-b713-7fe4550e925f
ba41d49d-f284-4c53-90ea-a6dce7139573,115.83000000,0.24,0x542b096df86a,2025-12-02 21:25:01.186487+04,9cf467f2-ddd5-489f-b9c9-3509ced7b458,5a4a58fa-df69-443b-8b2d-3b9fc47cee12
1727be80-b641-4c1d-93c7-53bd1e003b14,496.37000000,0.16,0x7040ff444129,2025-12-02 21:25:01.186771+04,19b34f88-afbb-4680-a6ce-3d7b449d1e16,ab77f481-e0bc-4465-974f-6452dd49e4d5
2f470d76-1733-4f5b-a42a-6fcbb3a5f595,420.87000000,0.68,0x8a8f42392c02,2025-12-02 21:25:01.186921+04,ba0247b1-2bb6-4edf-b4f3-940c07c2fefc,976c0777-1964-42da-8cd4-f50356392eca
201400bb-0536-4fc9-a187-51b0320f7ed5,22.42000000,0.65,0xb7842bb20e45,2025-12-02 21:25:01.18707+04,26160885-0e8f-4818-97fc-62fdb14c06bb,fcf4e0b1-7b73-4bf5-b754-e98f125cc52c
18aa2969-037b-40d1-a34e-0a597d5c8a42,119.09000000,0.43,0x9bf8934bcc9e,2025-12-02 21:25:01.187219+04,82e64c86-6974-493a-8f92-0fb19b3b9f91,d2790f00-f9d0-46a2-9d97-f7d45853ce66
f31fd2b9-302a-4f60-b765-c1be23cf763f,229.78000000,0.24,0x4d3a24104387,2025-12-02 21:25:01.187362+04,32d4b70a-86d9-44f9-8293-4b22d373b991,9e2e6b5a-7ff7-4f3d-b2ca-0e7904ed7db1
59a3a8a3-9b9f-4d88-9009-0fcf545185fc,163.77000000,0.56,0x44dea9520df6,2025-12-02 21:25:01.187515+04,54e9fab4-d6bd-477b-8a8a-2b28126b7bfc,a146e1b8-47e7-46b7-a721-4b8ef4ee3866
b1406a46-be0c-4ad2-bad2-28d30cae51c0,64.72000000,0.71,0x26ae0569cac1,2025-12-02 21:25:01.187662+04,39f18ee0-de03-4484-ae97-129b4ed56df2,06921a5c-574a-414a-abec-7674b0563a2f
53f20440-2f22-40f8-a3a7-50b16e71b86b,141.01000000,0.1,0x63642f2c7575,2025-12-02 21:25:01.187807+04,19b34f88-afbb-4680-a6ce-3d7b449d1e16,a923d59c-684b-410b-ac0f-bbd0ff7fbc2b
74d79a24-6d5a-4e21-9f22-330631f1500c,452.23000000,0.95,0x7799e8089f83,2025-12-02 21:25:01.187951+04,9cf467f2-ddd5-489f-b9c9-3509ced7b458,b347046b-1847-45a6-870c-26a61beb2ebb
cdc71abd-3de6-49b0-8a90-bad85c7f79a5,302.11000000,0.85,0x621f70123f1c,2025-12-02 21:25:01.188098+04,9b41ee75-adbb-489c-8c06-97c5735ee875,ab77f481-e0bc-4465-974f-6452dd49e4d5
e8dbbfee-4139-435c-bca4-b99eb2a5ffd0,395.20000000,0.33,0x34a2e71d0ee3,2025-12-02 21:25:01.188243+04,d5aa8235-3708-4dfb-bea4-32461377cc34,a4c2d1ce-244c-4260-99e4-b70b41f5c597
b1fe0392-fcc8-41c2-b637-5735d8ea1962,220.29000000,0.43,0x906bddfa4ca3,2025-12-02 21:25:01.188385+04,868acef0-6a44-4df8-a56e-7387886c8d55,1a782e94-65e3-4d2d-b713-7fe4550e925f
a16fd96b-acf8-4d7b-81c5-7e996785e133,459.99000000,0.62,0xfd081322c0da,2025-12-02 21:25:01.188533+04,23fe1edc-a7f0-4a19-b891-c96b0d9ba084,b347046b-1847-45a6-870c-26a61beb2ebb
68393607-6926-476a-94a6-7a3e52cc6b10,40.77000000,0.29,0x4ea204cd9688,2025-12-02 21:25:01.18868+04,ef5b1de2-1f21-4115-a310-51656a85790e,27158a41-eaa6-4309-b2e4-34469024c76d
45fa1402-a07c-468a-8197-d6ea0de5d966,404.06000000,0,0x686276759bf2,2025-12-02 21:25:01.188823+04,4495e651-ef8a-4c18-aefc-7501ae3af1d6,4f3ecc8a-2249-4097-b584-aa3dc68cf38d
dded2b7b-ead8-4b20-8d6b-1df558741911,99.71000000,0.54,0x2e19ecbfecca,2025-12-02 21:25:01.188972+04,26160885-0e8f-4818-97fc-62fdb14c06bb,f1e324e7-91d2-49af-a726-765ecc1b874b
1229819c-0aac-4283-b2c3-a4d2a8f69f3b,53.76000000,0.85,0x816186b0fbe1,2025-12-02 21:25:01.189115+04,8d980f07-2304-4f04-b93e-52889ef82af3,a633c34e-3c8d-4404-900c-6aa9fed5e26a
