donor_id,username,reputation_score,joined_at,wallet_id
7e04263a-dcdf-49ec-9c82-f3a2705301d1,user1,0.9,2025-12-02 21:22:14.798026+04,981795a4-5511-4d82-8b0c-4f0aa8c5fdc7
12fef95e-2cc6-4823-bef6-8fbf07609a72,user2,0.28,2025-12-02 21:22:14.798233+04,a813788d-0ef4-4165-8890-f30b7be7838c
02c3e5ef-73c8-466f-ada5-793f50ee8046,user3,0.01,2025-12-02 21:22:14.798395+04,ff323db6-2509-4794-ba49-64c566c2fad2
89065879-c933-41c2-8548-28819022205b,user4,0.32,2025-12-02 21:22:14.798548+04,67c770d8-e5e7-4be7-8979-32a67230281d
71fc9ae4-c8e2-46df-bae0-4c53dc71168c,user5,0.74,2025-12-02 21:22:14.7987+04,5c0e48cb-96c5-4137-ad81-5ec6217a97ec
c9d7d24a-a176-4e63-a00d-0bf932d564cb,user6,0.57,2025-12-02 21:22:14.798849+04,70cc9e80-5947-40f9-9883-d6131e627d0f
59a192de-977f-4b99-9aa4-88c191b5fd51,user7,0.16,2025-12-02 21:22:14.799002+04,ad91066b-deb3-41cd-85dc-e2bd637b6cb5
31777133-e122-4a89-9074-b8f6512c8671,user8,0.53,2025-12-02 21:22:14.799144+04,db248b48-4230-4596-9cd9-8f847c1b5a57
193608b4-2f2a-487f-afc6-43913a08b450,user9,0.29,2025-12-02 21:22:14.799288+04,8ab3126f-d291-4d08-a8c2-effed5812987
fd2b5903-44bd-41fd-a26c-a8bb81cd4dbf,user10,0.19,2025-12-02 21:22:14.799432+04,db248b48-4230-4596-9cd9-8f847c1b5a57
cdd5ab21-a11b-4cad-b3f0-586899669f6f,user11,0.77,2025-12-02 21:22:14.799573+04,9c7cde4c-193c-401d-86d1-f39e6a790171
6e6c6a30-96ab-4938-a42e-d4769d962f08,user12,0.26,2025-12-02 21:22:14.799854+04,ad91066b-deb3-41cd-85dc-e2bd637b6cb5
16991a51-e937-4d98-8c60-9668f49afa00,user13,0.47,2025-12-02 21:22:14.799996+04,9894494d-57f8-49ed-a1e2-2fda116442bb
f079b562-f71c-4a02-9a2d-aa86da90e3d6,user14,0.91,2025-12-02 21:22:14.800136+04,ad91066b-deb3-41cd-85dc-e2bd637b6cb5
bb492984-bd52-48e1-a9e3-5465cbd7bf78,user15,0.34,2025-12-02 21:22:14.80028+04,d0d3fe40-e0d8-466c-be12-b8e64f3b7061
0f5f1d3d-d638-42e2-8be6-3e241f283daa,user16,0.04,2025-12-02 21:22:14.800422+04,f4472efa-222c-4d86-8580-d4f88f8d8440
8f67361a-44e7-47de-8061-1a614091ca52,user17,0.56,2025-12-02 21:22:14.800563+04,981795a4-5511-4d82-8b0c-4f0aa8c5fdc7
2f80b278-e13b-4aa6-b1a7-4f6cc1d0aeb0,user18,0.83,2025-12-02 21:22:14.800702+04,981795a4-5511-4d82-8b0c-4f0aa8c5fdc7
a8c39bfb-7e4c-45b8-917e-34029f1f7ca0,user19,0.18,2025-12-02 21:22:14.800836+04,f3e3c18f-7e86-4f72-9088-dbb94fa38942
12380bf9-59ed-47b7-a2f2-067203ab3e99,user20,0.42,2025-12-02 21:22:14.80097+04,8494b787-5588-4ae8-9660-864d1687440f
46232977-d53b-4523-8048-f8420ccb9a22,user21,0.79,2025-12-02 21:22:14.801104+04,e9ba81cd-d51a-4841-960e-df7aaf399b39
7cbf338e-50e8-4283-a08c-0201d820252a,user22,0.21,2025-12-02 21:22:14.801234+04,5c0e48cb-96c5-4137-ad81-5ec6217a97ec
4fc9fddd-7388-4421-adb1-32485d6eaf58,user23,0.36,2025-12-02 21:22:14.801367+04,bf8c32c2-cd7a-4c5c-bce7-069ced1767ed
38c902eb-bdce-4125-8ea8-94a2dbcfe0f1,user24,0.81,2025-12-02 21:22:14.801501+04,c467d334-cac7-4cf0-a530-be6a88f8e078
16c4be2e-1257-475b-aaf5-540309728312,user25,0.25,2025-12-02 21:22:14.801632+04,f4472efa-222c-4d86-8580-d4f88f8d8440
bbfa8bf4-8e24-4cd7-a7f6-4c1c0c7c612a,user26,0.92,2025-12-02 21:22:14.801764+04,ca0c885f-3e23-4ee8-93d6-3ffad7ea36f1
5ff54696-e58c-4765-bb33-5360fa2ed6eb,user27,0.94,2025-12-02 21:22:14.801898+04,ca0c885f-3e23-4ee8-93d6-3ffad7ea36f1
4ec7cd28-4727-4632-bd49-d5d714b2d430,user28,0.37,2025-12-02 21:22:14.802027+04,70cc9e80-5947-40f9-9883-d6131e627d0f
d5479129-3ab8-4196-9266-5843aeac92a0,user29,0.58,2025-12-02 21:22:14.802161+04,a813788d-0ef4-4165-8890-f30b7be7838c
1b5d3f71-36be-4b56-ae49-38e99be73bf6,user30,0.64,2025-12-02 21:22:14.802292+04,9c7cde4c-193c-401d-86d1-f39e6a790171
9b41ee75-adbb-489c-8c06-97c5735ee875,user_1,0.93,2025-12-02 21:25:01.170847+04,75060a22-920b-4953-b3d9-cb4a1b6385d2
9cf467f2-ddd5-489f-b9c9-3509ced7b458,user_2,0.3,2025-12-02 21:25:01.171452+04,59cc8ae1-48b5-41ab-bd6c-048deeed7300
93856de4-650c-4b0e-ae51-e62921d9ea03,user_3,0.28,2025-12-02 21:25:01.171637+04,59acf8b5-3108-4a3b-ab98-7d73728d4845
81c71407-3660-4617-9e22-2f0bbfb89acb,user_4,0.65,2025-12-02 21:25:01.171832+04,da6395c9-86b8-4863-87fc-992e20c7869a
39f18ee0-de03-4484-ae97-129b4ed56df2,user_5,0.37,2025-12-02 21:25:01.172006+04,6e8d64a2-daf5-4161-96b6-c711bef770a1
82e64c86-6974-493a-8f92-0fb19b3b9f91,user_6,0.24,2025-12-02 21:25:01.172162+04,39b315de-1f79-497a-9492-c8472edf6320
b5cdf886-b8fa-42c3-a2f0-cd1aaebb8722,user_7,0.01,2025-12-02 21:25:01.172314+04,628ad412-fa5b-4315-81bd-115dfc1c4e30
19b34f88-afbb-4680-a6ce-3d7b449d1e16,user_8,0.16,2025-12-02 21:25:01.172458+04,e58cab66-6803-4028-a726-14c0741986b0
23fe1edc-a7f0-4a19-b891-c96b0d9ba084,user_9,0.38,2025-12-02 21:25:01.172769+04,e6272bfd-291e-4737-8464-8107c08cbead
26160885-0e8f-4818-97fc-62fdb14c06bb,user_10,0.53,2025-12-02 21:25:01.172957+04,618c8765-b958-44a1-9780-7102b0e501ad
bf413c30-a4c8-4beb-9956-068436d35d54,user_11,0.18,2025-12-02 21:25:01.173272+04,39983f03-b27b-4e8a-989f-2e8ad6d667b8
ba0247b1-2bb6-4edf-b4f3-940c07c2fefc,user_12,0.57,2025-12-02 21:25:01.173441+04,996cd2b0-475f-4dff-bc66-9c00b36b62ee
633b1dbb-3c04-4021-8ed3-3adbf3f71262,user_13,0.59,2025-12-02 21:25:01.173596+04,628ad412-fa5b-4315-81bd-115dfc1c4e30
7645dcba-523d-44d4-8d55-b93311636127,user_14,0.83,2025-12-02 21:25:01.173745+04,e58cab66-6803-4028-a726-14c0741986b0
05d0629e-2fca-47b7-a915-a7050f46621b,user_15,0.27,2025-12-02 21:25:01.173899+04,34b7c3a6-9e80-4234-a38f-c0715965ce1a
54e9fab4-d6bd-477b-8a8a-2b28126b7bfc,user_16,0.49,2025-12-02 21:25:01.174051+04,59acf8b5-3108-4a3b-ab98-7d73728d4845
