proposal_id,title,description,status,total_donations,created_at,proposer_id,round_id
9678aa31-c9d1-488e-a75d-cc40a1b4bc04,Proposal 1,Description for proposal 1,pending,0.00000000,2025-12-02 21:22:14.808874+04,193608b4-2f2a-487f-afc6-43913a08b450,210de42a-44fb-4fd7-8b6f-a1eb441e61d6
1f33734c-54d0-40b0-85f6-fa55c4dd6c97,Proposal 2,Description for proposal 2,approved,0.00000000,2025-12-02 21:22:14.809093+04,0f5f1d3d-d638-42e2-8be6-3e241f283daa,16466574-86ea-488f-b665-9d7ab7a4504c
9d496a90-c650-42b3-823a-27be5be5aac7,Proposal 3,Description for proposal 3,approved,0.00000000,2025-12-02 21:22:14.80929+04,a8c39bfb-7e4c-45b8-917e-34029f1f7ca0,6096f0f1-5009-41f2-9c71-ad53ca74c764
b99822be-e8e7-4abe-9352-c6b41785045a,Proposal 4,Description for proposal 4,approved,0.00000000,2025-12-02 21:22:14.809476+04,71fc9ae4-c8e2-46df-bae0-4c53dc71168c,210de42a-44fb-4fd7-8b6f-a1eb441e61d6
9d991a22-418b-4792-b692-1fe155775761,Proposal 5,Description for proposal 5,rejected,0.00000000,2025-12-02 21:22:14.809651+04,71fc9ae4-c8e2-46df-bae0-4c53dc71168c,6096f0f1-5009-41f2-9c71-ad53ca74c764
e8471d2b-8bc3-442b-8b9c-6858acd254ef,Proposal 6,Description for proposal 6,approved,0.00000000,2025-12-02 21:22:14.809823+04,0f5f1d3d-d638-42e2-8be6-3e241f283daa,6096f0f1-5009-41f2-9c71-ad53ca74c764
84ff3b0d-6d0a-41c0-b697-2d181ddf9aae,Proposal 7,Description for proposal 7,funded,0.00000000,2025-12-02 21:22:14.809995+04,59a192de-977f-4b99-9aa4-88c191b5fd51,df87fbaf-d025-4351-8644-49b1a88ead50
3398a848-d428-43ff-b88d-d99f98f78c9b,Proposal 8,Description for proposal 8,approved,0.00000000,2025-12-02 21:22:14.810154+04,02c3e5ef-73c8-466f-ada5-793f50ee8046,df87fbaf-d025-4351-8644-49b1a88ead50
ada9f2c0-dfcd-46fb-80dd-bc0e7820a6a1,Proposal 9,Description for proposal 9,approved,0.00000000,2025-12-02 21:22:14.81032+04,a8c39bfb-7e4c-45b8-917e-34029f1f7ca0,df87fbaf-d025-4351-8644-49b1a88ead50
aff393a0-cdf4-419b-9c24-95bbc84ff487,Proposal 10,Description for proposal 10,pending,0.00000000,2025-12-02 21:22:14.810477+04,7cbf338e-50e8-4283-a08c-0201d820252a,6096f0f1-5009-41f2-9c71-ad53ca74c764
25b03d56-28a6-4c6a-be82-ee222c4053ad,Proposal 11,Description for proposal 11,pending,0.00000000,2025-12-02 21:22:14.810633+04,cdd5ab21-a11b-4cad-b3f0-586899669f6f,16466574-86ea-488f-b665-9d7ab7a4504c
